comment,label
प्रत्येक संघात सात खेळाडू असतात.,0
समस्येचे निराकरण करणे शक्य आहे का?,0
यावर श्रेयासाठी कोणीच काही केलेले नाही.,0
त्यानंतर दिल्लीमध्ये पुढचं शिक्षण पूर्ण केलं.,0
यावर भाजपने तीव्र नाराजीची प्रतिक्रिया दिली आहे.,-1
मला माहितेय काय स्पेशल आहे ते!,1
पण हे बरोबर नाही.,-1
दिवसभर उपवास करतात.,0
सर्व दर तीन टप्प्यात विभागलेला आहे.,0
हवामान बदल आणि दहशतवाद हे नवे चिंतेचे विषय आहेत.,-1
प्रवास करताना आपल्याच मनाच्या लहरीनुसार जाणे धोक्याचे का ठरेल?,0
आपल्या डोळ्यापुढे ठेवण्यास मदत मिळेल.,1
तरी देखील काहीच दाद लागत नाही.,-1
ही संकल्पना लोकांना आवडली आहे.,1
सरकारने हाती घेतलेल्या उपक्रमांपैकी सर्वाधिक लोकप्रिय ठरले आहे,1
सुरक्षेबद्दल जागरूक राहण्यामागचा आपला मूळ हेतू काय आहे?,0
कुठे माहिती मिळेल?,0
नोटबंदीचे निकाल देशाच्या प्रगतीसाठी खूप फायदेशीर ठरले आहेत.,1
पुढील दिवस येतील की वाईट हवामान लक्षण आहे.,-1
त्यातही दोन्ही पियानोवर तो एकाच वेळी दोन वेगवेगळी गाणे वाजवतो हे विशेष.,1
यशस्वी किंवा शाप?,0
राज्याची आर्थिक स्थिती चांगली आहे.,1
यामुळे कामाच्या क्षेत्रात तुम्हाला नक्कीच यश मिळेल.,1
सर्वात महत्त्वाचे म्हणजे त्यांच्या सेवेमुळे यहोवाला आनंद झाला.,1
त्याच्या ह्या वक्तव्यामागचं कारण जाणून घ्या ह्या व्हिडिओमध्ये!,0
या लोकांचा अशा प्रकारे का न्याय केला जाईल?,0
"तुम्हाला काय वाटतं, आपण कुणाला प्रार्थना करावी?",0
शहरात पाण्याची टंचाई भासत आहे.,-1
त्याचा हेतू बाकी काय असणार?,0
ज्यामुळे मोठी आर्थिक हानी होण्याची शक्यता आहे.,-1
तुम्हा सर्वाना खूप धन्यवाद.,1
काय आहे आधार पे?,0
तरीही हे स्थित्यंतर इतक्‍या वेगात होणार नाही.,-1
यावर तोडगा काय?,0
आपल्याकडे प्रति जनावर दूध उत्पादन अतिशय कमी आहे.,-1
पारंपरिक ज्ञानाबाबत त्याला कशी माहिती कळणार?,0
पर्यावरणाच्या दृष्टीने ते घातक आहे.,-1
स्तुती आणि प्रोत्साहित करतो.,1
राज्यात शेतकर्‍यांची अशी अवस्था याआधी कधीच झालेली नव्हती.,-1
अशा परिस्थितीत ‘सातत्य कसं टिकवावं?,-1
